closedprices,olhc4_filter,olhc4_filter2
7267.7,7266.941819505862,7267.67702738773
7268.7,7267.109066288181,7267.953389793509
7267.9,7267.184303795802,7267.938966209142
7268.7,7267.328484278961,7268.144564215187
7271.9,7267.76334935522,7269.159118520739
7273.9,7268.347097768978,7270.439897102108
7275.4,7269.0180045433835,7271.779899711496
7272.9,7269.387279058292,7272.082501762355
7272.7,7269.702401379389,7272.249322747074
7272.4,7269.959010237688,7272.29002914294
7269.2,7269.886809448051,7271.45523857511
7268.9,7269.7929392763035,7270.76492500123
7268.4,7269.660436036333,7270.126025821537
7267.4,7269.445412234752,7269.389573012126
7266.9,7269.2032800945335,7268.7169993979915
7265.7,7268.870030848893,7267.901938269411
7262.4,7268.254569669232,7266.415555468596
7262.4,7267.697654186264,7265.33072821464
7267.4,7267.669339855021,7265.889754841505
7268.7,7267.767381320892,7266.648960027955
7270.4,7268.017808967325,7267.662326777381
7268.9,7268.101727320473,7267.9966918867385
7269.4,7268.225225407812,7268.375804290706
7270.2,7268.413075686807,7268.868622093241
7269.9,7268.554519246079,7269.147255241539
7271.4,7268.825195380769,7269.755848231798
7272.4,7269.16524839124,7270.470182257109
7274.2,7269.644178745175,7271.4778156895
7273.7,7270.029988425575,7272.078152584905
7274.4,7270.44568543561,7272.705414087111
7276.7,7271.040626620539,7273.784576285333
7276.4,7271.550436595082,7274.491149248526
7274.4,7271.82150109163,7274.46652471283
7271.2,7271.762380848783,7273.584052770427
7270.4,7271.632784476846,7272.723861135569
7269.7,7271.448928504296,7271.906946265957
7269.4,7271.254024340198,7271.229679159381
7268.4,7270.982535497529,7270.46522375687
7270.4,7270.927121853781,7270.44760315379
7270.9,7270.924541889556,7270.569820972025
7271.2,7270.950744820819,7270.740067751023
7265.9,7270.470293113835,7269.4324933822045
7265.9,7270.03554433799,7268.478168351607
7264.9,7269.547026083553,7267.511503944297
7264.4,7269.057415628964,7266.670911825482
7266.4,7268.80462917461,7266.597723312959
7266.9,7268.6234514729895,7266.679385237667
7265.9,7268.364383364125,7266.46882947427
7265.9,7268.129959088903,7266.3151566583
7266.2,7267.946371881161,7266.284046371722
7267.9,7267.941960759584,7266.720606282498
7266.9,7267.84284432363,7266.769070609652
7268.7,7267.924381190463,7267.29072317914
7265.2,7267.665224642296,7266.725901324991
7263.9,7267.307057941989,7265.962466527909
7259.7,7266.583437148817,7264.270622293756
7259.7,7265.928650727134,7263.035840288979
7259.4,7265.307613336129,7262.053595449538
7259.9,7264.7932145394725,7261.471788260987
7259.4,7264.280185427224,7260.912081792599
7259.2,7263.7969331848535,7260.449552261096
7261.7,7263.597462579262,7260.787368485382
7262.4,7263.483554044845,7261.223030906516
7262.9,7263.428043511863,7261.676074524237
7261.9,7263.282688492026,7261.73656938251
7261.9,7263.15116035711,7261.780721179035
7261.4,7262.984581364778,7261.6778669875275
7260.4,7262.738723264122,7261.332643282901
7260.7,7262.544789872699,7261.161730770126
7260.4,7262.340766903411,7260.955944470803
7260.9,7262.203714064144,7260.940830724496
7260.9,7262.079698365518,7260.929800050638
7258.9,7261.777229806602,7260.3814369581005
7256.4,7261.26572124082,7259.305827031694
7256.2,7260.783844903053,7258.466768566083
7250.9,7259.8436449278615,7256.422559034161
7245.9,7258.517256792086,7253.579824346296
7246.4,7257.364603685218,7251.640150198997
7240.9,7255.7984095443535,7248.738631906303
7243.9,7254.66657426485,7247.431445439855
7243.9,7253.642404727995,7246.477403517392
7243.9,7252.71565923842,7245.781101946669
7243.2,7251.8104828958485,7245.083801222302
7241.9,7250.867748983671,7244.223677544733
7243.4,7250.157379944289,7244.001155939444
7244.4,7249.609709626322,7244.108906139972
7247.9,7249.4470736315225,7245.133093696047
7249.2,7249.4235707716025,7246.231793697159
7248.4,7249.3262036818205,7246.817548098491
